6.3505;43425;3777
3.927417;48416;4159
1.4875;33135;2968
1.932916;52332;4456
1.890125;54147;4587
2.092833;59238;4976
3.044;94811;7581
1.594125;45802;3961
1.0335;35306;3140
0.866958;32557;2920
1.338959;52511;4472
0.992666;37709;3328
2.944833;120435;9393
2.989583;121755;9483
0.608833;22717;2131
1.977042;121643;9472
0.6435;31981;2873
0.14425;6858;748
1.321916;83435;6744
1.858958;116688;9133
0.45175;25613;2368
0.686833;44342;3844
1.093208;77485;6325
0.702125;48982;4204
0.352333;23156;2165
0.627875;44046;3821
1.155208;91998;7375
1.365334;117282;9171
0.492166;34097;3040
0.843458;66404;5503
0.775166;62596;5223
0.821;58411;4910
1.825042;39278;3453
1.229041;105160;8323
1.132917;99284;7902
0.909667;76780;6261
0.338792;25564;2360
0.712292;58959;4949
0.583709;47862;4125
1.259625;109116;8605
0.949083;77892;6355
1.118292;91609;7359
0.861542;69427;5726
0.264375;17314;1677
0.50525;44461;3852
0.1805;7071;766
0.720875;64592;5361
1.080833;92427;7407
0.990417;87108;7020
0.409;36002;3193
1.225416;103814;8229
1.405125;120714;9407
0.324667;25860;2383
0.256458;22179;2082
1.325083;118662;9264
0.122083;7634;820
0.107;8470;895
0.823041;70940;5845
1.484416;128332;9942
0.927417;86718;7000
1.324375;127622;9883
0.534875;41798;3652
0.209083;14512;1435
